latitude,tracking,no,mirror_shape,W,D,H_R,r_a,r,theta_a,theta_max,MSF_i,eta_yn,delta_qn
0,N-S,1,Flat,0.59,1.17,11.84,0.1,0.2,53.66,216.34,0,51.81,8.77
0,N-S,2,Cylindrical,0.48,0.89,13.5,0.04,0.14,42.22,227.78,33.29,54.6,7.62
0,N-S,3,Parabolic,0.67,1.27,14.1,0.04,0.12,50.7,219.3,22.62,46.49,6.07
0,E-W,4,Flat,0.39,0.76,12.34,0.06,0.16,37.73,232.27,0,44.36,5.13
0,E-W,5,Cylindrical,0.64,0.94,11.93,0.05,0.1,46.64,223.36,36.37,43.92,7.05
0,E-W,6,Parabolic,0.5,0.68,8.36,0.07,0.15,49.13,220.87,29.48,46.64,7.65
15,N-S,7,Flat,0.5,1,13.26,0.09,0.19,44.59,225.41,0,52.68,9.32
15,N-S,8,Cylindrical,0.56,0.98,13.26,0.04,0.11,44.79,225.21,33.12,49.43,6.86
15,N-S,9,Parabolic,0.66,1.2,16.44,0.05,0.11,46.75,223.25,23.83,50.53,8.12
15,E-W,10,Flat,0.53,0.92,11.83,0.09,0.2,45.08,224.92,0,44.04,5.49
15,E-W,11,Cylindrical,0.6,0.83,9.6,0.05,0.12,49.74,220.26,37.46,43.66,7.13
15,E-W,12,Parabolic,0.59,0.9,12.5,0.05,0.15,42.56,227.44,28.61,40.76,4.44
30,N-S,13,Flat,0.53,1.05,8.94,0.09,0.17,57.17,212.83,0,46.79,9.26
30,N-S,14,Cylindrical,0.59,1,13.99,0.04,0.12,44.69,225.31,39.97,44.3,5.99
30,N-S,15,Parabolic,0.71,1.28,14.96,0.05,0.11,52.81,217.19,23.57,44.66,8.89
30,E-W,16,Flat,0.47,0.83,11.91,0.08,0.18,42.39,227.61,0,44.13,6.45
30,E-W,17,Cylindrical,0.63,1.01,15.29,0.05,0.14,41.14,228.86,37.39,42.55,7.24
30,E-W,18,Parabolic,0.61,1.04,13.02,0.06,0.13,46.8,223.2,28.84,39.86,5.51
45,N-S,19,Flat,0.48,0.94,11.48,0.09,0.19,48.03,221.97,0,44.63,12.52
45,N-S,20,Cylindrical,0.47,0.87,13.09,0.04,0.12,40.93,229.07,35.53,41.51,7.7
45,N-S,21,Parabolic,0.64,1.23,17.35,0.05,0.13,45.52,224.48,24.96,38.94,7.78
45,E-W,22,Flat,0.5,0.97,12.01,0.08,0.16,47.24,222.76,0,38.49,7.12
45,E-W,23,Cylindrical,0.48,0.93,12.56,0.04,0.1,44.77,225.23,37.38,38.8,6.62
45,E-W,24,Parabolic,0.45,0.85,12.22,0.04,0.11,42.28,227.72,21.35,38.32,6.1
60,N-S,25,Flat,0.58,1.15,14.45,0.09,0.15,46.57,223.43,0,36.27,13.17
60,N-S,26,Cylindrical,0.53,1.02,14.1,0.04,0.11,45.53,224.47,38.49,33.85,7
60,N-S,27,Parabolic ,0.57,1.08,15.24,0.05,0.13,45.55,224.45,19.73,35.54,8.88
60,E-W,28,Flat,0.53,1.02,11.72,0,0.19,48.58,221.42,0,36.7,8.98
60,E-W,29,Cylindrical,0.46,0.91,11.84,0.04,0.12,43.13,226.87,38.1,37.08,8.07
60,E-W,30,Parabolic,0.45,0.85,12.74,0.05,0.13,42.97,227.03,20.85,37.09,7.74
75,N-S,31,Flat,0.42,0.83,7.97,0.07,0.15,59.94,210.06,0,29.83,11.55
75,N-S,32,Cylindrical,0.49,0.97,11.17,0.04,0.08,50.19,219.81,36.86,28.2,7.95
75,N-S,33,Parabolic,0.45,0.88,14.56,0.04,0.11,39.07,230.93,24.34,28.5,7.19
75,E-W,34,Flat,0.36,0.72,7.85,0.07,0.11,53.18,216.82,0,32.08,14.6
75,E-W,35,Cylindrical,0.47,0.92,12.59,0.05,0.12,45.72,224.28,34.7,31.51,9.66
75,E-W,36,Parabolic,0.58,1.17,16.73,0.06,0.17,42.55,227.45,25.63,28.68,6.76
